name,url,path,able
Home,https://www.longisland.com/,/,false
Things To Do,https://www.longisland.com/things-to-do/,/things-to-do/,true
All Things To Do,https://www.longisland.com/things-to-do/,/things-to-do/,true
Amusement Parks,https://www.longisland.com/amusement-parks/,/amusement-parks/,true
Beaches,https://www.longisland.com/beaches/,/beaches/,true
Boating & Fishing,https://www.longisland.com/boating/,/boating/,true
Golf Courses,https://www.longisland.com/golf/,/golf/,true
Event Calendar,https://events.longisland.com/,,false
Kids Entertainment,https://www.longisland.com/kids-entertainment/,/kids-entertainment/,true
Museums,https://www.longisland.com/museums/,/museums/,true
Nightlife,https://nightlife.longisland.com/,,false
Parks,https://www.longisland.com/parks/,/parks/,true
Restaurants,https://www.longisland.com/restaurants/,/restaurants/,true
Sports,https://www.longisland.com/sports.html,/sports.html,true
Summer Camps,https://www.longisland.com/summer-camps/,/summer-camps/,true
Theaters,https://www.longisland.com/theaters/,/theaters/,true
Tours,https://www.longisland.com/tours/,/tours/,true
Vineyard Tours,https://www.longisland.com/vineyard-tours/,/vineyard-tours/,true
Wineries,https://www.longisland.com/wineries/,/wineries/,true
Events,https://www.longisland.com/business/#,/business/#,true
Calendar Of Events,https://events.longisland.com/,,false
Places To Go,https://www.longisland.com/things-to-do/,/things-to-do/,true
Free Events,https://events.longisland.com/free,,false
Today,https://events.longisland.com/daterange/today/,,false
Tomorrow,https://events.longisland.com/daterange/tomorrow/,,false
This Weekend,https://events.longisland.com/daterange/weekend/,,false
Next 7 Days,https://events.longisland.com/daterange/week/,,false
Next 30 Days,https://events.longisland.com/daterange/month/,,false
Add an Event,https://events.longisland.com/addevent/,,false
Feature Your Event,https://www.longisland.com/advertise/,/advertise/,true
Business News,https://longislandbusiness.com/,,false
Happenings,https://www.longisland.com/news/,/news/,true
More,https://www.longisland.com/business/#,/business/#,true
LIRR Schedules,https://www.longisland.com/lirr.html,/lirr.html,true
Traffic Cameras,https://www.longisland.com/traffic-cameras/,/traffic-cameras/,true
Ferry Schedules,https://www.longisland.com/ferry-schedules.html,/ferry-schedules.html,true
Guides,https://www.longisland.com/business/,/business/,true
Long Island Travel Guide (LICVB),https://www.longisland.com/licvb-li-travel-guide.html,/licvb-li-travel-guide.html,true
Festivals & Fairs Guide,https://events.longisland.com/festivals-carnivals,,false
Used Cars,https://www.longisland.com/used-cars/,/used-cars/,true
Camps,https://www.longisland.com/day-camps/,/day-camps/,true
Colleges,https://www.longisland.com/colleges/,/colleges/,true
Day Camps,https://www.longisland.com/day-camps/,/day-camps/,true
Home Improvement,https://www.longisland.com/home-improvement/,/home-improvement/,true
Hotels,https://www.longisland.com/hotels_motels/,/hotels_motels/,true
Private Schools,https://www.longisland.com/private-schools/,/private-schools/,true
Prom,https://www.longisland.com/prom-guide.html,/prom-guide.html,true
Weddings,https://weddings.longisland.com/,,false
Newsletter,https://www.longisland.com/newsletter/,/newsletter/,true
Find A Business,https://www.longisland.com/business/,/business/,true
Business Directory,https://www.longisland.com/business/,/business/,true
Bars & Clubs,https://nightlife.longisland.com/bars-lounges/,,false
Car Dealers,https://www.longisland.com/used-cars/,/used-cars/,true
Catering Halls,https://www.longisland.com/catering-halls/,/catering-halls/,true
Day Care,https://www.longisland.com/day-care/,/day-care/,true
Insurance Agents,https://www.longisland.com/insurance/,/insurance/,true
Lawyers,https://www.longisland.com/lawyers/,/lawyers/,true
Limos,https://www.longisland.com/limos/,/limos/,true
Movers,https://www.longisland.com/movers/,/movers/,true
Spas,https://www.longisland.com/day-spas/,/day-spas/,true
Wedding Services,https://weddings.longisland.com/,,false
More...,https://www.longisland.com/business/,/business/,false
Feature Your Business,https://www.longisland.com/advertise/,/advertise/,true
Real Estate,https://realestate.longisland.com/,,false
Weather,https://www.longisland.com/weather/,/weather/,true
Advertise With Us,https://www.longisland.com/advertise/,/advertise/,true
this is where you should be advertising,https://www.longisland.com/advertise,/advertise,true
Categorized,https://www.longisland.com/business/#categorized,/business/#categorized,true
Alphabetic,https://www.longisland.com/business/#alphabetic,/business/#alphabetic,true
Accommodations,https://www.longisland.com/accommodations/,/accommodations/,true
Bed and Breakfast,https://www.longisland.com/bed-breakfasts/,/bed-breakfasts/,true
House & Vacation Rentals,https://www.longisland.com/house-vacation-rentals/,/house-vacation-rentals/,true
Inns,https://www.longisland.com/inns/,/inns/,true
Motels,https://www.longisland.com/motels/,/motels/,true
Resorts,https://www.longisland.com/resorts/,/resorts/,true
Automotive,https://www.longisland.com/automotive/,/automotive/,true
Auto Body,https://www.longisland.com/auto-body/,/auto-body/,true
Auto Buyers,https://www.longisland.com/auto-buyers/,/auto-buyers/,true
Auto Detailing,https://www.longisland.com/auto-detailing/,/auto-detailing/,true
Auto Glass,https://www.longisland.com/auto-glass/,/auto-glass/,true
Auto Insurance,https://www.longisland.com/auto-insurance/,/auto-insurance/,true
Auto Loans,https://www.longisland.com/auto-loans/,/auto-loans/,true
